prompt,super_category,category,filename,img_path,score
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000002.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000002.jpg,0.24
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000070.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000070.jpg,0.24
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000031.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000031.jpg,0.24
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000073.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000073.jpg,0.24
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000066.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000066.jpg,0.24
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000089.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000089.jpg,0.24
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000019.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000019.jpg,0.24
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000065.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000065.jpg,0.24
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000099.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000099.jpg,0.24
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000049.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000049.jpg,0.24
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000078.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000078.jpg,0.24
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000100.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000100.jpg,0.24
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000025.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000025.jpg,0.24
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000022.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000022.jpg,0.24
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000033.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000033.jpg,0.24
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000021.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000021.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000069.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000069.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000094.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000094.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000062.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000062.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000056.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000056.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000036.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000036.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000012.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000012.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000097.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000097.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000051.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000051.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000087.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000087.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000032.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000032.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000016.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000016.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000098.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000098.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000030.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000030.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Bamboo,000096.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000096.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000059.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000059.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000020.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000020.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000040.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000040.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000029.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000029.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000054.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000054.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000092.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000092.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000058.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000058.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000067.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000067.jpg,0.23
Image of plant which is a sign of good luck' — Top 100 matches:,plant,Four-leaf_Clover,000011.jpg,/kaggle/input/superstition-dataset/Big Data/plant_images/Four-leaf_Clover/000011.jpg,0.23
