super_category,prompt,category,count
color,Image of color which is a sign of bad luck' — Top 100 matches:,Black,34
color,Image of color which is a sign of bad luck' — Top 100 matches:,Green,24
color,Image of color which is a sign of bad luck' — Top 100 matches:,Purple,17
color,Image of color which is a sign of bad luck' — Top 100 matches:,Brown,9
color,Image of color which is a sign of bad luck' — Top 100 matches:,Red,9
color,Image of color which is a sign of bad luck' — Top 100 matches:,Blue,3
color,Image of color which is a sign of bad luck' — Top 100 matches:,Orange,3
color,Image of color which is a sign of bad luck' — Top 100 matches:,White,1
color,Image of color which is a sign of good luck' — Top 100 matches:,Green,34
color,Image of color which is a sign of good luck' — Top 100 matches:,Orange,16
color,Image of color which is a sign of good luck' — Top 100 matches:,Red,16
color,Image of color which is a sign of good luck' — Top 100 matches:,Purple,11
color,Image of color which is a sign of good luck' — Top 100 matches:,Yellow,9
color,Image of color which is a sign of good luck' — Top 100 matches:,Blue,6
color,Image of color which is a sign of good luck' — Top 100 matches:,Brown,6
color,Image of color which is a sign of good luck' — Top 100 matches:,White,2
color,Image of color which is a sign of illness' — Top 100 matches:,White,46
color,Image of color which is a sign of illness' — Top 100 matches:,Black,21
color,Image of color which is a sign of illness' — Top 100 matches:,Brown,16
color,Image of color which is a sign of illness' — Top 100 matches:,Blue,13
color,Image of color which is a sign of illness' — Top 100 matches:,Purple,2
color,Image of color which is a sign of illness' — Top 100 matches:,Orange,1
color,Image of color which is a sign of illness' — Top 100 matches:,Red,1
color,Image of color which is a sign of loss' — Top 100 matches:,Black,43
color,Image of color which is a sign of loss' — Top 100 matches:,White,27
color,Image of color which is a sign of loss' — Top 100 matches:,Purple,11
color,Image of color which is a sign of loss' — Top 100 matches:,Brown,9
color,Image of color which is a sign of loss' — Top 100 matches:,Blue,8
color,Image of color which is a sign of loss' — Top 100 matches:,Red,2
color,Image of color which is a sign of prosperity' — Top 100 matches:,Yellow,42
color,Image of color which is a sign of prosperity' — Top 100 matches:,Orange,23
color,Image of color which is a sign of prosperity' — Top 100 matches:,Green,11
color,Image of color which is a sign of prosperity' — Top 100 matches:,Purple,10
color,Image of color which is a sign of prosperity' — Top 100 matches:,Red,9
color,Image of color which is a sign of prosperity' — Top 100 matches:,Blue,4
color,Image of color which is a sign of prosperity' — Top 100 matches:,Brown,1
color,Image of color which is a sign of wealth' — Top 100 matches:,Brown,28
color,Image of color which is a sign of wealth' — Top 100 matches:,Yellow,27
color,Image of color which is a sign of wealth' — Top 100 matches:,Orange,23
color,Image of color which is a sign of wealth' — Top 100 matches:,White,7
color,Image of color which is a sign of wealth' — Top 100 matches:,Red,6
color,Image of color which is a sign of wealth' — Top 100 matches:,Green,4
color,Image of color which is a sign of wealth' — Top 100 matches:,Black,2
color,Image of color which is a sign of wealth' — Top 100 matches:,Purple,2
color,Image of color which is a sign of wealth' — Top 100 matches:,Blue,1
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Solar_Eclipse,46
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Lightning_Strike_thunderstorm,20
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Gentle_Rain,18
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Cloudy_Sky,4
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Shooting_Star,3
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Sunny_Day,3
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Foggy_Morning,2
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Full_Moon,2
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Rainbow,1
natural,Image of natural phenomenon which is a sign of bad luck' — Top 100 matches:,Snowfall,1
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Rainbow,39
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Sunny_Day,23
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Full_Moon,11
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Cloudy_Sky,7
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Shooting_Star,6
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Gentle_Rain,5
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Foggy_Morning,3
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Lightning_Strike_thunderstorm,3
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Snowfall,2
natural,Image of natural phenomenon which is a sign of good luck' — Top 100 matches:,Solar_Eclipse,1
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Foggy_Morning,70
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Gentle_Rain,12
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Sunny_Day,11
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Cloudy_Sky,5
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Full_Moon,1
natural,Image of natural phenomenon which is a sign of illness' — Top 100 matches:,Snowfall,1
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Shooting_Star,48
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Foggy_Morning,34
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Gentle_Rain,14
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Cloudy_Sky,2
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Rainbow,1
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Sunny_Day,1
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Rainbow,40
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Lightning_Strike_thunderstorm,17
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Full_Moon,16
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Gentle_Rain,14
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Solar_Eclipse,9
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Shooting_Star,4
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Full_Moon,30
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Rainbow,26
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Lightning_Strike_thunderstorm,15
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Sunny_Day,13
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Gentle_Rain,8
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Foggy_Morning,3
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Shooting_Star,2
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Snowfall,2
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Solar_Eclipse,1
animal,Image of animal which is a sign of bad luck' — Top 100 matches:,Black_Cat,73
animal,Image of animal which is a sign of bad luck' — Top 100 matches:,White_Cat,23
animal,Image of animal which is a sign of bad luck' — Top 100 matches:,Crow_Raven,3
animal,Image of animal which is a sign of bad luck' — Top 100 matches:,Snake,1
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Ladybug,29
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Brown_Dog,15
animal,Image of animal which is a sign of good luck' — Top 100 matches:,White_Cat,14
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Rabbit,11
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Elephant,10
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Goldfish,7
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Bat,4
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Cow,4
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Black_Cat,2
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Sheep,2
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Snake,2
animal,Image of animal which is a sign of illness' — Top 100 matches:,Brown_Dog,33
animal,Image of animal which is a sign of illness' — Top 100 matches:,Bat,17
